Date,MIN,PIN,Legacy Code,Loc Code,Lead Time Mon,Lead Time Tue,Lead Time Wed,Lead Time Thu,Lead Time Fri,Lead Time Sat,Lead Time Sun,Order Model,Coordinated ordering code,Batches Min,Batches Max,Multiple Limits,Order Trigger Level,Allow Mixed Pallets,Pallet Treshhold,Allow Multiple Deliveries,Case Size,Pallet Layer,Pallet,Batch Size Selection,Effective order batch size,Min. delivery,Order parameter unit,Order parameter,AM/PM Order Send,AM/PM Delivery,PTZ flag,Non MO product,Ocado managed?,Shelving delay flag 1,Shelving delay flag 2
21/01/21,108335531,108335531,,966,6,6,6,6,6,6,6,MRP,,,,,,,,,"1,0",,,CASE,"1,0",,QTY,"-0,01",AM,AM,Yes,No,No,0,1
21/01/21,107577635,107577643,608408,990,3,3,3,3,3,3,3,MRP,,,,,,,,,"6,0",,,CASE,"6,0",,QTY,"1,15,74,43,30,315",AM,AM,Yes,No,No,0,1
21/01/21,107556105,107556113,569076,971,3,2,,2,,2,,MRP,,,,,,,,,"12,0",,,CASE,"12,0",,QTY,"47,62,17,81,781",,AM,Yes,No,No,1,1
21/01/21,104574244,104574279,530004,952,6,,,6,,,,MRP,,,,,,,,,"14,0",,,CASE,"14,0",,QTY,"3,24,81,87,85,402",,AM,Yes,No,No,1,1
21/01/21,103052161,103179411,659420,952,4,4,4,3,3,3,,MRP,,,,,,,,,"12,0",,,CASE,"12,0",,QTY,"1,67,56,50,28,123",PM,AM,Yes,No,No,1,1
21/01/21,108186151,108186177,686200,993,3,2,2,2,2,2,2,MRP,,,,,,,,,"8,0",,,CASE,"8,0",,QTY,"1,33,79,08,81,603",AM,AM,Yes,No,No,0,0
21/01/21,107562425,107562476,633978,718,2,2,2,2,2,2,2,MRP,,,,,,,,,"6,0",,,CASE,"6,0",,QTY,"76,46,73,13,278",PM,AM,Yes,No,No,0,1
21/01/21,103087583,103196392,670570,990,2,2,2,2,2,2,2,CO_MRP,103196392-670570-16CS-990,"16,0","16,0",Yes,"0,5",No,,Yes,"6,0",,,CASE,"6,0",,QTY,"1,76,52,39,66,362",AM,AM,Yes,No,No,1,1
21/01/21,104807474,104807482,402180,763,4,4,4,3,3,3,,MRP,,,,,,,,,"6,0",,,CASE,"6,0",,QTY,"91,51,82,98,444",PM,AM,Yes,No,No,1,1
21/01/21,108414491,108414512,5421445,967,2,2,2,2,2,2,2,CO_MRP,108414512-5421445-40CS-967,"40,0","40,0",Yes,"0,25",No,,Yes,"6,0",,,CASE,"6,0",,QTY,"4,77,96,44,33,823",PM,AM,Yes,No,No,0,1
21/01/21,108388220,108388238,5481054,978,2,2,2,2,2,2,2,CO_MRP,108388238-5481054-10cs-978,"10,0","10,0",Yes,"0,5",No,,Yes,"24,0",,,CASE,"24,0",,QTY,"4,25,75,78,53,715",PM,AM,Yes,No,No,0,1
21/01/21,108503486,108503507,502991,993,2,2,2,2,2,2,2,MRP,,,,,,,,,"4,0",,,CASE,"4,0",,QTY,"59,02,75,35,947",PM,AM,Yes,No,No,0,0
21/01/21,108768978,108768994,500113,990,3,3,3,3,3,3,3,MRP,,,,,,,,,"6,0",,,CASE,"6,0",,QTY,"1,16,65,13,98,299",PM,AM,Yes,No,No,1,1
21/01/21,106236644,106236652,261340,763,3,3,3,3,3,3,3,MRP,,,,,,,,,"6,0",,,CASE,"6,0",,QTY,"1,09,55,13,57,819",PM,AM,Yes,No,No,0,1
21/01/21,108430168,108430176,4540115,971,2,2,2,2,2,2,2,MRP,,,,,,,,,"12,0",,,CASE,"12,0",,QTY,"44,20,15,40,132",AM,AM,Yes,No,No,1,1
21/01/21,108302262,108302297,5421144,978,2,2,2,2,2,2,2,MRP,,,,,,,,,"10,0",,,CASE,"10,0",,QTY,"1,03,52,29,44,317",PM,AM,Yes,No,No,0,1
21/01/21,103042051,103173537,168310,993,3,2,2,2,2,2,,MRP,,,,,,,,,"12,0",,,CASE,"12,0",,QTY,"6,45,70,06,311",AM,AM,Yes,No,No,1,1
21/01/21,105243316,105243324,187231,763,3,2,2,2,2,2,,MRP,,,,,,,,,"12,0",,,CASE,"12,0",,QTY,"84,32,08,15,935",AM,AM,Yes,No,No,0,1
21/01/21,108768978,108768994,500113,993,3,3,3,3,3,3,3,MRP,,,,,,,,,"6,0",,,CASE,"6,0",,QTY,"1,07,49,98,83,837",PM,AM,Yes,No,No,1,1
